text,proposed_category,cluster_id
瀹茗招待所,黃特種行業,0
頑聚招待所,黃特種行業,0
台塑麥寮招待所,正常困難負樣本,0
台塑招待所,正常困難負樣本,0
孽子一對招待所,黃特種行業,0
長榮鳳凰酒店(礁溪),正常困難負樣本,1
長榮礁溪鳳凰酒店,正常困難負樣本,1
雲南瀘沽湖海境度假精品酒店,正常困難負樣本,1
青島涵碧樓酒店,正常困難負樣本,1
淡水將捷金鬱金香酒店,正常困難負樣本,1
翊星演藝經紀有限公司,黃特種行業,2
嵐圖娛樂經紀有限公司,正常困難負樣本,2
黑馬娛樂經紀有限公司,正常困難負樣本,2
語噥經紀娛樂公司,正常困難負樣本,2
聖韻專業禮儀用品公關有限公司,正常困難負樣本,2
永旭保險經紀人 - [LOC]營業處,正常困難負樣本,3
永旭保險經紀人-[LOC]營業處,正常困難負樣本,3
公勝保險經紀人[LOC]業務中心,正常困難負樣本,3
雋鋒保險經紀人[LOC]營運中心,正常困難負樣本,3
信安保險經紀人 《[LOC]營運中心》,正常困難負樣本,3
高登產品行銷-直播主經紀部,正常困難負樣本,4
慕容公關行銷,正常困難負樣本,4
威創活動公關行銷,正常困難負樣本,4
天紅整合行銷公關顧問,正常困難負樣本,4
攏通知識型網紅籌劃經紀人,正常困難負樣本,4
潘朵拉娛樂女經紀,黃特種行業,5
绯月流星公關女僕執事館,黃特種行業,5
凱薩模特兒經紀公司,正常困難負樣本,5
女經紀團隊Anna姐,黃特種行業,5
家珍演藝經紀粉專,正常困難負樣本,5
昜演藝經紀通告社,正常困難負樣本,6
水玥娛樂經紀公司,黃特種行業,6
妹仔娛樂事業經紀股份有限公司,黃特種行業,6
小美創藝行銷經紀公司,正常困難負樣本,6
庚魁經紀公司,正常困難負樣本,6
寂夜※甜蜜戀人-公關酒吧,黃特種行業,7
M男模酒吧[LOC]會館,黃特種行業,7
晶華酒店Robins牛排屋,正常困難負樣本,7
反串表演酒吧(二姐的店宵夜場),黃特種行業,7
小叔漢克炸雞啤酒店,正常困難負樣本,7
澳門新葡京酒店,正常困難負樣本,8
香港九龍富豪酒店,正常困難負樣本,8
[LOC]鳳凰酒店Phoenix Hotel Taichung,正常困難負樣本,8
"中南海酒店city resort,taichung",正常困難負樣本,8
澳門金沙城假日酒店,正常困難負樣本,8
輔大應數公關~~nt啾,正常困難負樣本,9
義呆利男公關社,黃特種行業,9
公關小樂,黃特種行業,9
Meet公關小虎,黃特種行業,9
炎羽公關部,黃特種行業,9
中信房屋 基隆仁愛加盟店 頂真不動產仲介經紀有限公司,正常困難負樣本,10
黃景瑜 & 許魏洲 公關小站,黃特種行業,10
秦歌公關部,黃特種行業,10
中山企管系學會公關組,正常困難負樣本,10
東港鎮廣中府招待所,黃特種行業,10
優荳影視娛樂經紀公司,黃特種行業,11
儷睛娛樂經紀公司,黃特種行業,11
天域娛樂經紀公司,黃特種行業,11
海棠經紀娛樂公司,黃特種行業,11
傅．娛樂經紀公司,黃特種行業,11
立合公關行銷有限公司,正常困難負樣本,12
大輝活動公關公司,正常困難負樣本,12
威冠整合行銷公關顧問有限公司,正常困難負樣本,12
龍力整合公關顧問有限公司,正常困難負樣本,12
星捷公關整合行銷有限公司,正常困難負樣本,12
楓夜公關部,黃特種行業,13
ღ夜魅公關部ღ,黃特種行業,13
黯夜公關部,黃特種行業,13
魅櫻之夜公關部,黃特種行業,13
謎夜公關部,黃特種行業,13
大誠保險經紀人- 帝一通訊處,正常困難負樣本,14
永旭保險經紀人-高一營業部,正常困難負樣本,14
陳冠志保險經紀人事務所,正常困難負樣本,14
倍安保險經紀人股份有限公司,正常困難負樣本,14
永旭保險經紀人-屏一營業部,正常困難負樣本,14
[LOC]八大森林樂園,正常困難負樣本,15
新八大森林生態露營樂園,正常困難負樣本,15
翰品酒店歡樂森林Happy Forest,正常困難負樣本,15
草簇公關部,黃特種行業,15
八大森林遊樂區,正常困難負樣本,15
魅星公關部,黃特種行業,16
雲月公關部,黃特種行業,16
「仰星之時」公關部,黃特種行業,16
〖虛星之門〗公關部,黃特種行業,16
藍星公關部,黃特種行業,16
雙福大酒店,正常困難負樣本,17
人頭酒店,黃特種行業,17
希岸酒店,正常困難負樣本,17
兆品酒店,正常困難負樣本,17
